Profile: <cProfile.Profile object at 0x000001D079380980>
         233895 function calls (224082 primitive calls) in 17.917 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000   14.075    1.280 http11.py:179(_receive_response_headers)
       33    0.000    0.000    0.000    0.000 _urlparse.py:422(is_safe)
       33    0.000    0.000    0.001    0.000 inspect.py:1778(_check_class)
        1    0.000    0.000    0.007    0.007 _generate_schema.py:514(_model_schema)
      117    0.000    0.000    0.001    0.000 typing.py:1371(__hash__)
       27    0.000    0.000    0.015    0.001 http11.py:337(__iter__)
       33    0.000    0.000    0.016    0.000 http11.py:170(_send_event)
      111    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
      121    0.000    0.000    0.002    0.000 typing.py:412(is_literal_type)
       26    0.000    0.000    0.008    0.000 ssl.py:1236(send)
       11    0.000    0.000    0.031    0.003 _base_client.py:411(_build_headers)
       21    0.000    0.000    0.000    0.000 client.py:1242(putheader)
       12    0.000    0.000    0.003    0.000 cookiejar.py:949(set_ok)
       11    0.000    0.000    0.002    0.000 _models.py:631(_get_content_decoder)
       29    0.000    0.000    0.001    0.000 typing_extensions.py:3029(_collect_parameters)
       33    0.000    0.000    0.000    0.000 inspect.py:1769(_check_instance)
        6    0.000    0.000    0.002    0.000 feedparser.py:216(_parsegen)
       11    0.000    0.000    0.048    0.004 _response.py:273(parse)
      109    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
       24    0.000    0.000    0.000    0.000 message.py:489(get)
       85    0.000    0.000    0.000    0.000 enum.py:686(__call__)
       27    0.000    0.000   14.062    0.521 ssl.py:1289(recv)
       55    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
       12    0.000    0.000    0.000    0.000 cookiejar.py:761(__init__)
      9/6    0.000    0.000    0.010    0.002 _generate_schema.py:623(_generate_schema_from_property)
       21    0.000    0.000    0.001    0.000 request.py:301(request_host)
      186    0.000    0.000    0.000    0.000 _headers.py:117(__getitem__)
       44    0.000    0.000    0.000    0.000 copy.py:243(_keep_alive)
       12    0.000    0.000    0.001    0.000 cookiejar.py:1486(_cookie_from_cookie_tuple)
      6/2    0.000    0.000    0.011    0.006 _generate_schema.py:760(match_type)
       11    0.000    0.000    0.007    0.001 _models.py:721(construct)
        4    0.000    0.000    0.081    0.020 socket.py:945(getaddrinfo)
       22    0.000    0.000    0.000    0.000 _models.py:254(__delitem__)
        6    0.000    0.000    0.004    0.001 url.py:369(parse_url)
       88    0.000    0.000    0.001    0.000 _models.py:121(raw)
      468    0.000    0.000    0.000    0.000 ssl.py:1146(_checkClosed)
       11    0.000    0.000    0.003    0.000 _client.py:129(close)
       33    0.000    0.000    0.006    0.000 _models.py:61(enforce_headers)
       48    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      266    0.000    0.000    0.000    0.000 {method 'endswith' of 'bytearray' objects}
       11    0.000    0.000   14.735    1.340 sync_summary.py:49(chunk_summary)
       21    0.000    0.000    0.000    0.000 _models.py:239(<listcomp>)
       11    0.000    0.000    0.000    0.000 _utils.py:311(<dictcomp>)
        6    0.000    0.000    0.000    0.000 {built-in method _winapi.CloseHandle}
       13    0.000    0.000    0.001    0.000 cookiejar.py:1297(_cookie_attrs)
        2    0.000    0.000    0.000    0.000 {built-in method pydantic_core._pydantic_core.validate_core_schema}
      662    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
        4    0.000    0.000    0.001    0.000 parse.py:452(urlsplit)
      616    0.000    0.000    0.000    0.000 {method 'isprintable' of 'str' objects}
       72    0.000    0.000    0.001    0.000 socket.py:99(_intenum_converter)
       21    0.000    0.000    0.001    0.000 _models.py:1160(__bool__)
       11    0.000    0.000   14.267    1.297 _client.py:964(_send_handling_redirects)
       22    0.000    0.000    0.017    0.001 _models.py:639(_validate_non_model_type)
       47    0.000    0.000    0.002    0.000 cookiejar.py:636(eff_request_host)
       64    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
       35    0.000    0.000    0.001    0.000 cookiejar.py:677(escape_path)
       23    0.000    0.000    0.001    0.000 cookiejar.py:647(request_path)
        3    0.000    0.000    0.001    0.000 message.py:486(<listcomp>)
        3    0.000    0.000    3.132    1.044 sessions.py:500(request)
       22    0.000    0.000    0.001    0.000 _urlparse.py:286(encode_host)
       11    0.000    0.000   14.267    1.297 _client.py:930(_send_handling_auth)
       22    0.000    0.000    0.000    0.000 _base_client.py:2019(<dictcomp>)
      195    0.000    0.000    0.000    0.000 socket.py:731(readable)
       64    0.000    0.000    0.000    0.000 _collections.py:259(__getitem__)
       12    0.000    0.000    0.001    0.000 cookiejar.py:1015(set_ok_domain)
       53    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       29    0.000    0.000    0.000    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
        1    0.000    0.000    0.882    0.882 _api.py:114(get_transcript)
        2    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
       55    0.000    0.000    0.000    0.000 {method 'finditer' of 're.Pattern' objects}
       55    0.000    0.000    0.000    0.000 _collections.py:302(add)
       11    0.000    0.000    0.001    0.000 http11.py:245(_response_closed)
       24    0.000    0.000    0.001    0.000 cookiejar.py:1161(return_ok_domain)
        3    0.000    0.000    0.000    0.000 client.py:206(_read_headers)
       80    0.000    0.000    0.000    0.000 threading.py:267(__exit__)
       22    0.000    0.000    0.001    0.000 _connection.py:81(_body_framing)
        3    0.000    0.000    0.003    0.001 connection.py:324(request)
       11    0.000    0.000    0.024    0.002 _models.py:1033(extract_cookies)
      195    0.000    0.000    0.018    0.000 __init__.py:122(unescape)
       21    0.000    0.000    0.002    0.000 parse.py:1058(_splittype)
        1    0.000    0.000    0.000    0.000 _transcripts.py:133(<listcomp>)
      245    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      192    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       77    0.000    0.000    0.000    0.000 threading.py:359(notify)
       32    0.000    0.000    0.000    0.000 _urlparse.py:105(authority)
       21    0.000    0.000    0.000    0.000 _urlparse.py:138(__str__)
        2    0.000    0.000    0.000    0.000 _schema_validator.py:20(create_schema_validator)
       21    0.000    0.000    0.002    0.000 http11.py:281(has_expired)
        3    0.000    0.000    0.000    0.000 poolmanager.py:96(_default_key_normalizer)
       11    0.000    0.000    0.001    0.000 _models.py:178(get_list)
