Profile: <cProfile.Profile object at 0x000001BA0CDE2270>
         242367 function calls (233358 primitive calls) in 25.235 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       36    0.000    0.000    0.000    0.000 inspect.py:1787(_is_type)
      112    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        2    0.000    0.000    0.175    0.087 connection.py:440(getresponse)
       26    0.000    0.000    0.000    0.000 connection_pool.py:301(_close_connections)
       53    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
        2    0.000    0.000    0.994    0.497 sessions.py:500(request)
        2    0.000    0.000    0.115    0.058 ssl.py:1018(_create)
       14    0.000    0.000    0.000    0.000 _models.py:703(has_redirect_location)
        4    0.000    0.000    0.003    0.001 url.py:369(parse_url)
        2    0.000    0.000    0.000    0.000 client.py:206(_read_headers)
       67    0.000    0.000    0.473    0.007 models.py:816(generate)
