Profile: <cProfile.Profile object at 0x000001F095772890>
         245586 function calls (235919 primitive calls) in 19.962 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      710    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      559    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.940    0.940 _api.py:114(get_transcript)
       10    0.000    0.000    0.002    0.000 cookiejar.py:949(set_ok)
       11    0.000    0.000   14.716    1.338 summary.py:35(chunk_summary)
        3    0.000    0.000    0.162    0.054 ssl.py:1018(_create)
      968    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       23    0.000    0.000    0.000    0.000 _models.py:239(<listcomp>)
       12    0.000    0.000    0.007    0.001 _models.py:721(construct)
      290    0.000    0.000    0.000    0.000 {method 'endswith' of 'bytearray' objects}
        2    0.000    0.000    0.001    0.000 feedparser.py:469(_parse_headers)
       34    0.000    0.000    0.000    0.000 parse.py:917(quote_from_bytes)
       85    0.000    0.000    0.000    0.000 enum.py:686(__call__)
        3    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       60    0.000    0.000    0.000    0.000 {method 'finditer' of 're.Pattern' objects}
       13    0.000    0.000    0.000    0.000 cookiejar.py:1297(_cookie_attrs)
       24    0.000    0.000    0.000    0.000 _base_client.py:2019(<dictcomp>)
       23    0.000    0.000    0.001    0.000 _models.py:1160(__bool__)
      6/2    0.000    0.000    0.007    0.003 _generate_schema.py:760(match_type)
      195    0.000    0.000    0.009    0.000 __init__.py:122(unescape)
       24    0.000    0.000    0.012    0.000 _models.py:639(_validate_non_model_type)
       30    0.000    0.000    0.001    0.000 typing_extensions.py:3029(_collect_parameters)
      464    0.000    0.000    0.000    0.000 ssl.py:1146(_checkClosed)
        4    0.000    0.000    0.001    0.000 feedparser.py:216(_parsegen)
        1    0.000    0.000    0.004    0.004 _generate_schema.py:514(_model_schema)
       12    0.000    0.000    0.001    0.000 _models.py:178(get_list)
       33    0.000    0.000    0.000    0.000 _connection.py:352(receive_data)
       62    0.000    0.000    0.001    0.000 <frozen _collections_abc>:771(get)
       24    0.000    0.000    0.001    0.000 _connection.py:81(_body_framing)
      508    0.000    0.000    0.000    0.000 _policybase.py:201(header_max_count)
       33    0.000    0.000    0.000    0.000 _events.py:299(__init__)
       12    0.000    0.000    0.000    0.000 {method 'split' of 'bytearray' objects}
       15    0.000    0.000    0.001    0.000 <frozen _collections_abc>:941(update)
      9/6    0.000    0.000    0.006    0.001 _generate_schema.py:623(_generate_schema_from_property)
       36    0.000    0.000    0.005    0.000 _urlparse.py:124(copy_with)
       30    0.000    0.000    0.000    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
       35    0.000    0.000    0.000    0.000 _urlparse.py:105(authority)
       36    0.000    0.000    0.006    0.000 _models.py:61(enforce_headers)
       22    0.000    0.000    0.000    0.000 queue.py:122(put)
       33    0.000    0.000    0.013    0.000 default.py:111(__iter__)
      141    0.000    0.000    0.000    0.000 _connection.py:205(our_state)
       34    0.000    0.000    0.001    0.000 parse.py:841(quote)
      298    0.000    0.000    0.000    0.000 _exceptions.py:7(map_exceptions)
       40    0.000    0.000    0.000    0.000 cookiejar.py:884(__init__)
       12    0.000    0.000    0.035    0.003 _base_client.py:549(_process_response_data)
